active,class_a,class_b
TRUE,bakery,bakery
TRUE,pastry_shop,bakery
TRUE,atm,atm_bank
TRUE,bank,atm_bank
TRUE,biergarten,bar
TRUE,bar,bar
TRUE,pub,bar
TRUE,cafe,cafe
TRUE,general_practitioner,gp
TRUE,clinic,gp
TRUE,international_supermarket,grocery
TRUE,supermarket,grocery
TRUE,wholesale_store,grocery
TRUE,grocery_store,grocery
TRUE,childcare,kindergarten
TRUE,library,library
TRUE,pharmacy,pharmacy
TRUE,playground,playground
TRUE,fast_food,restaurant
TRUE,restaurant,restaurant
TRUE,food_court,restaurant
TRUE,forest,nature
TRUE,garden,nature
TRUE,park,nature
TRUE,post_office,post
FALSE,art_gallery,art
FALSE,museum,art
FALSE,concert_hall,centre
FALSE,social_facility,centre
FALSE,community_centre,centre
FALSE,cinema,cinema
FALSE,university,college
FALSE,college,college
FALSE,dentist,doctor
FALSE,specialist_doctor,doctor
FALSE,coffee_shop,grocery
FALSE,tea_shop,grocery
FALSE,beverage_store,grocery
FALSE,liquor_store,grocery
FALSE,marketplace,grocery
FALSE,butcher,grocery
FALSE,cheese_store,grocery
FALSE,confectionery_store,grocery
FALSE,convenience_store,grocery
FALSE,dairy_store,grocery
FALSE,deli_store,grocery
FALSE,greengrocer,grocery
FALSE,health_food_store,grocery
FALSE,seafood_store,grocery
FALSE,spices_store,grocery
FALSE,hairdresser,hairdresser
FALSE,high_school,high_school
FALSE,hospital,hospital
FALSE,town_hall,institution
FALSE,place_of_worship,institution
FALSE,dance_studio,library
FALSE,music_school,library
FALSE,beach,nature
FALSE,national_park,nature
FALSE,chemist,pharmacy
FALSE,primary_school,primary_school
FALSE,ice_cream_shop,restaurant
FALSE,secondary_school,secondary_school
FALSE,laundry_service,service
FALSE,tailor,service
FALSE,shopping_mall,shop
FALSE,antique_store,shop
FALSE,baby_store,shop
FALSE,bag_store,shop
FALSE,beauty_store,shop
FALSE,bicycle_store,shop
FALSE,clothing_store,shop
FALSE,copy_shop,shop
FALSE,cosmetics_store,shop
FALSE,craft_store,shop
FALSE,electronics_store,shop
FALSE,fashion_accessories_store,shop
FALSE,florist,shop
FALSE,framing_store,shop
FALSE,gift_store,shop
FALSE,hardware_store,shop
FALSE,interior_decoration_store,shop
FALSE,kiosk,shop
FALSE,leather_goods_store,shop
FALSE,music_store,shop
FALSE,musical_instrument_store,shop
FALSE,party_supply_store,shop
FALSE,perfumery,shop
FALSE,pet_store,shop
FALSE,second_hand_store,shop
FALSE,shoe_store,shop
FALSE,smoke_shop,shop
FALSE,sports_store,shop
FALSE,stationery_store,shop
FALSE,textiles_store,shop
FALSE,toy_store,shop
FALSE,variety_store,shop
FALSE,video_games_store,shop
FALSE,video_store,shop
FALSE,book_store,shop
FALSE,medical_supply_store,shop
FALSE,optician,shop
FALSE,department_store,shop
FALSE,fitness_centre,sport
FALSE,fitness_station,sport
FALSE,golf_course,sport
FALSE,ice_rink,sport
FALSE,pitch,sport
FALSE,sports_centre,sport
FALSE,sports_hall,sport
FALSE,track,sport
FALSE,water_park,sport
FALSE,pedestrian_plaza,square
FALSE,theatre,theatre